District,No. of Wells Analysed,0-2,2-5,5-10,10-20,20-40,>40
Ariyalur,10,6,2,1,1,0,0
Chengalpattu,24,5,16,3,0,0,0
Chennai,17,11,4,2,0,0,0
Coimbatore,16,2,3,6,2,2,1
Cuddalore,29,7,13,7,2,0,0
Dharmapuri,23,1,4,11,7,0,0
Dindigul,28,3,12,9,4,0,0
Erode,40,11,0,21,6,2,0
Kallakurichchi,18,2,8,7,1,0,0
Kancheepuram,10,5,0,5,0,0,0
Kanyakumari,11,3,0,4,4,0,0
Karaikal,4,4,0,0,0,0,0
Karur,13,5,1,1,6,0,0
Krishnagiri,16,5,2,9,0,0,0
Madurai,16,2,5,0,9,0,0
Mayiladuthurai,3,3,0,0,0,0,0
Nagapattinam,11,2,8,0,1,0,0
Namakkal,43,9,4,21,8,1,0
Nilgiris,8,1,4,1,2,0,0
Perambalur,15,2,8,2,3,0,0
Pondicherry,4,3,0,1,0,0,0
Pudukkottai,18,6,8,0,4,0,0
Ramanathapuram,21,2,13,6,0,0,0
Ranipet,6,3,2,0,1,0,0
Salem,44,3,20,17,4,0,0
Sivaganga,12,2,3,0,7,0,0
Thanjavur,17,5,10,1,1,0,0
Theni,12,3,1,4,4,0,0
Thenkasi,11,5,0,2,4,0,0
Thirupathur,15,0,8,0,6,0,1
Thiruvannamalai,18,5,2,9,2,0,0
Tiruchirapalli,40,3,17,16,4,0,0
Tirunelveli,20,5,4,8,3,0,0
Tiruppur,37,1,16,14,5,1,0
Tiruvallur,32,8,19,0,5,0,0
Tiruvarur,6,5,1,0,0,0,0
Tuticorin,24,2,9,11,2,0,0
Vellore,9,6,0,2,1,0,0
Villupuram,16,2,9,4,1,0,0
Virudhunagar,16,7,1,7,1,0,0
