District,No. of Wells Analysed,0-2,2-5,5-10,10-20,20-40,>40
Ariyalur,9,0,9,0,0,0,0
Chennai,13,2,9,2,0,0,0
Coimbatore,21,1,7,6,2,5,0
Cuddalore,31,5,19,4,0,3,0
Dharmapuri,23,2,6,9,6,0,0
Dindigul,29,7,13,8,0,1,0
Erode,58,4,28,17,9,0,0
Kancheepuram,39,3,19,14,0,3,0
Kanyakumari,12,1,2,6,0,3,0
Karaikal,4,3,1,0,0,0,0
Karur,11,1,3,7,0,0,0
Krishnagiri,17,4,7,6,0,0,0
Madurai,18,2,8,7,1,0,0
Nagapattinam,13,3,9,1,0,0,0
Namakkal,44,3,20,14,1,6,0
Nilgiris,8,4,1,2,1,0,0
Perambalur,16,3,8,3,2,0,0
Pondicherry,5,0,4,1,0,0,0
Pudukkottai,21,5,9,7,0,0,0
Ramanathapuram,26,7,12,6,1,0,0
Salem,48,6,18,19,5,0,0
Sivaganga,10,2,4,4,0,0,0
Thanjavur,14,3,10,1,0,0,0
Theni,12,1,2,8,0,1,0
Thiruvannamalai,19,1,9,8,1,0,0
Tirunelveli,34,6,12,12,4,0,0
Tiruppur,17,5,4,7,1,0,0
Tiruvallur,32,5,15,9,3,0,0
Tiruvarur,6,0,5,1,0,0,0
Tiruchirapalli,41,4,19,16,2,0,0
Tuticorin,22,4,9,7,2,0,0
Vellore,32,2,22,5,0,3,0
Villupuram,36,3,21,12,0,0,0
Virudhunagar,14,3,8,3,0,0,0
