District,No. of Wells Analysed,0-2,2-5,5-10,10-20,20-40,>40
Ariyalur,7,2,4,1,0,0,0
Chengalpattu,16,7,6,3,0,0,0
Chennai,19,8,10,1,0,0,0
Coimbatore,16,2,2,6,3,2,1
Cuddalore,29,11,8,9,1,0,0
Dharmapuri,23,5,2,12,4,0,0
Dindigul,29,12,6,6,5,0,0
Erode,40,6,15,12,5,2,0
Kallakurichchi,0,0,0,0,0,0,0
Kancheepuram,6,2,3,1,0,0,0
Kanyakumari,12,3,5,4,0,0,0
Karaikal,4,2,2,0,0,0,0
Karur,12,3,3,6,0,0,0
Krishnagiri,16,3,7,6,0,0,0
Madurai,17,3,10,3,0,1,0
Mayiladuthurai,0,0,0,0,0,0,0
Nagapattinam,11,3,8,0,0,0,0
Namakkal,43,7,18,13,4,1,0
Nilgiris,8,2,4,1,1,0,0
Perambalur,14,2,8,2,2,0,0
Pondicherry,5,3,0,2,0,0,0
Pudukkottai,19,5,9,5,0,0,0
Ramanathapuram,23,6,10,7,0,0,0
Ranipet,6,2,4,0,0,0,0
Salem,43,13,13,14,3,0,0
Sivaganga,9,2,6,1,0,0,0
Thanjavur,17,5,9,2,1,0,0
Theni,13,5,2,6,0,0,0
Thenkasi,11,2,4,4,1,0,0
Thirupathur,17,3,9,4,1,0,0
Thiruvannamalai,16,3,7,6,0,0,0
Tiruchirapalli,40,20,5,12,3,0,0
Tirunelveli,18,6,7,2,2,1,0
Tiruppur,40,7,11,15,5,2,0
Tiruvallur,31,17,11,3,0,0,0
Tiruvarur,6,5,1,0,0,0,0
Tuticorin,23,8,7,7,1,0,0
Vellore,9,1,4,3,1,0,0
Villupuram,17,6,7,4,0,0,0
Virudhunagar,16,3,9,3,1,0,0
