District,stname,Annual_Rainfall_mm
Baksa,Assam,3274.60
Barpeta,Assam,2051.40
Bongaigaon,Assam,3102.40
Cachar,Assam,3311.90
Chirang,Assam,3218.70
Darrang,Assam,1951.20
Dhemaji,Assam,2859.30
Dhubri,Assam,2752.80
Dibrugarh,Assam,2649.40
Dima Hasao,Assam,2791.80
Goalpara,Assam,2583.20
Golaghat,Assam,1751.70
Hailakandi,Assam,2838.30
Jorhat,Assam,2265.30
Kamrup,Assam,1896.20
Kamrup Metro Rural,Assam,1813.40
Kamrup Metro Urban,Assam,1813.40
Karbi Anglong,Assam,1122.20
Karimganj,Assam,3751.00
Kokrajhar,Assam,3102.40
Lakhimpur,Assam,3270.30
Morigaon,Assam,1884.80
Nagaon,Assam,1884.80
Nalbari,Assam,1896.20
Sivasagar,Assam,2412.40
Sonitpur,Assam,1978.70
Tinsukia,Assam,2322.60
Udalguri,Assam,1957.80
