District,Pre_Monsoon_mbgl,Post_Monsoon_mbgl
Baksa,6.76,5.35
Barpeta,3.57,1.74
Bongaigaon,4.36,3.19
Cachar,3.63,1.59
Chirang,3.4,2.46
Darrang,4.5,3.89
Dhemaji,3.22,2.12
Dhubri,7.23,6.29
Dibrugarh,4.4,3.14
Dima Hasao,,
Goalpara,3.39,2.47
Golaghat,6.5,4.75
Hailakandi,3.3,1.46
Jorhat,2.11,1.38
Kamrup,3.41,2.73
Kamrup Metro Rural,3.15,2.97
Kamrup Metro Urban,3.66,2.03
Karbi Anglong,3.14,4.27
Karimganj,1.91,1.12
Kokrajhar,4.16,3.46
Lakhimpur,2.88,1.88
Morigaon,3.61,2.13
Nagaon,3.6,3.13
Nalbari,3.68,2.18
Sivasagar,5.48,3.53
Sonitpur,3.74,2.57
Tinsukia,3.74,3.38
Udalguri,2.72,2.24
