District,Weighted_Avg_Depth
Ariyalur,3.55
Chengalpattu,3.48
Chennai,2.35
Coimbatore,12.03
Cuddalore,4.66
Dharmapuri,8.8
Dindigul,6.16
Erode,7.96
Kallakurichchi,5.42
Kancheepuram,4.25
Kanyakumari,8.45
Karaikal,1.0
Karur,8.15
Krishnagiri,4.97
Madurai,9.66
Mayiladuthurai,1.0
Nagapattinam,4.09
Namakkal,7.69
Nilgiris,6.56
Perambalur,6.0
Pondicherry,2.62
Pudukkottai,5.22
Ramanathapuram,4.4
Ranipet,4.17
Salem,5.92
Sivaganga,9.79
Thanjavur,3.68
Theni,8.04
Thenkasi,7.27
Thirupathur,10.87
Thiruvannamalai,6.08
Tiruchirapalli,6.06
Tirunelveli,6.2
Tiruppur,7.22
Tiruvallur,4.67
Tiruvarur,1.42
Tuticorin,6.08
Vellore,4.0
Villupuram,4.91
Virudhunagar,4.88
