District,Weighted_Avg_Depth
Ariyalur,3.5
Chennai,3.73
Coimbatore,11.93
Cuddalore,6.18
Dharmapuri,7.85
Dindigul,4.91
Erode,6.28
Kancheepuram,6.78
Kanyakumari,11.92
Karaikal,1.62
Karur,5.82
Krishnagiri,4.32
Madurai,5.42
Nagapattinam,3.23
Namakkal,8.48
Nilgiris,4.69
Perambalur,5.22
Pondicherry,4.3
Pudukkottai,4.24
Ramanathapuram,4.19
Salem,5.97
Sivaganga,4.6
Thanjavur,3.25
Theni,8.17
Thiruvannamalai,5.66
Tirunelveli,5.82
Tiruppur,5.09
Tiruvallur,5.31
Tiruvarur,4.17
Tiruchirapalli,5.38
Tuticorin,5.36
Vellore,6.45
Villupuram,4.62
Virudhunagar,3.82
