District,Weighted_Avg_Depth
Ariyalur,3.36
Chengalpattu,3.16
Chennai,2.66
Coimbatore,12.75
Cuddalore,4.19
Dharmapuri,7.04
Dindigul,5.28
Erode,7.09
Kallakurichchi,
Kancheepuram,3.33
Kanyakumari,4.21
Karaikal,2.25
Karur,4.88
Krishnagiri,4.53
Madurai,5.32
Mayiladuthurai,
Nagapattinam,2.82
Namakkal,5.99
Nilgiris,4.81
Perambalur,5.36
Pondicherry,3.6
Pudukkottai,3.89
Ramanathapuram,4.07
Ranipet,2.67
Salem,4.85
Sivaganga,3.39
Thanjavur,3.91
Theni,4.38
Thenkasi,5.55
Thirupathur,4.68
Thiruvannamalai,4.53
Tiruchirapalli,4.31
Tirunelveli,5.86
Tiruppur,7.32
Tiruvallur,2.52
Tiruvarur,1.42
Tuticorin,4.35
Vellore,5.83
Villupuram,3.56
Virudhunagar,4.5
