STATE_UT_NAME,DISTRICT,ANNUAL
ASSAM,CACHAR,2999.2
ASSAM,DARRANG,1957.8
ASSAM,GOALPARA,2575.3
ASSAM,KAMRUP,1813.4
ASSAM,LAKHIMPUR,2859.3
ASSAM,NORTH CACHAR,1977.5
ASSAM,NAGAON,1660.1
ASSAM,SIVASAGAR,1811.6
ASSAM,BARPETA,3274.6
ASSAM,DHUBRI,2702.6
ASSAM,DIBRUGARH,2556.6
ASSAM,JORHAT,2083
ASSAM,KARIMGANJ,3650.8
ASSAM,KOKRAJHAR,3772.2
ASSAM,SHONITPUR,1978.5
ASSAM,GOLAGHAT,1680.7
ASSAM,TINSUKIA,2485.3
ASSAM,HAILAKANDI,2645.6
ASSAM,DHEMAJI,2859.3
ASSAM,KARBI ANGLONG,1341
ASSAM,UDALGURI,1957.8
ASSAM,KAMRUP METROP,1813.4
ASSAM,CHIRANG,3218.7
ASSAM,BAKSA BARPETA,3274.6
ASSAM,BONGAIGAON,3218.7
ASSAM,MORIGAON,1743.5
ASSAM,NALBARI,2356.6
TAMIL NADU,VELLORE,936.2
TAMIL NADU,COIMBATORE,689.3
TAMIL NADU,DHARMAPURI,902.1
TAMIL NADU,KANYAKUMARI,1302.5
TAMIL NADU,CHENNAI,1324.2
TAMIL NADU,MADURAI,927.9
TAMIL NADU,NILGIRIS,1522.7
TAMIL NADU,RAMANATHAPURA,807.8
TAMIL NADU,SALEM,997.9
TAMIL NADU,THANJAVUR,1013.1
TAMIL NADU,TIRUCHIRAPPAL,818
TAMIL NADU,TIRUNELVELI,845.1
TAMIL NADU,ERODE,702.9
TAMIL NADU,PUDUKKOTTAI,887.4
TAMIL NADU,DINDIGUL,930.7
TAMIL NADU,VIRUDHUNAGAR,820.1
TAMIL NADU,SIVAGANGA,872.8
TAMIL NADU,THOOTHUKUDI,656.3
TAMIL NADU,TIRUVANNAMALA,1040
TAMIL NADU,NAGAPATTINAM,1393.3
TAMIL NADU,VILUPPURAM,1011.6
TAMIL NADU,CUDDALORE,1206.7
TAMIL NADU,KANCHIPURAM,1227.7
TAMIL NADU,TIRUVALLUR,1139.6
TAMIL NADU,THENI,720
TAMIL NADU,NAMAKKAL,793.4
TAMIL NADU,KARUR,655
TAMIL NADU,PERAMBALUR,861.9
TAMIL NADU,TIRUVARUR,1173.3
TAMIL NADU,KRISHNAGIRI,850.7
TAMIL NADU,ARIYALUR,1071.8
TAMIL NADU,TIRUPUR,618.2
