DISTRICT,Stname,ANNUAL
VELLORE,Tamil Nadu,936.2
COIMBATORE,Tamil Nadu,689.3
DHARMAPURI,Tamil Nadu,902.1
KANYAKUMARI,Tamil Nadu,1302.5
CHENNAI,Tamil Nadu,1324.2
MADURAI,Tamil Nadu,927.9
NILGIRIS,Tamil Nadu,1522.7
RAMANATHAPURA,Tamil Nadu,807.8
SALEM,Tamil Nadu,997.9
THANJAVUR,Tamil Nadu,1013.1
TIRUCHIRAPPAL,Tamil Nadu,818
TIRUNELVELI,Tamil Nadu,845.1
ERODE,Tamil Nadu,702.9
PUDUKKOTTAI,Tamil Nadu,887.4
DINDIGUL,Tamil Nadu,930.7
VIRUDHUNAGAR,Tamil Nadu,820.1
SIVAGANGA,Tamil Nadu,872.8
THOOTHUKUDI,Tamil Nadu,656.3
TIRUVANNAMALA,Tamil Nadu,1040
NAGAPATTINAM,Tamil Nadu,1393.3
VILUPPURAM,Tamil Nadu,1011.6
CUDDALORE,Tamil Nadu,1206.7
KANCHIPURAM,Tamil Nadu,1227.7
TIRUVALLUR,Tamil Nadu,1139.6
THENI,Tamil Nadu,720
NAMAKKAL,Tamil Nadu,793.4
KARUR,Tamil Nadu,655
PERAMBALUR,Tamil Nadu,861.9
TIRUVARUR,Tamil Nadu,1173.3
KRISHNAGIRI,Tamil Nadu,850.7
ARIYALUR,Tamil Nadu,1071.8
TIRUPUR,Tamil Nadu,618.2
